Incident Date,Incident Exact Time,Incident Time,Incident Year,Incident Day of Week,Incident Category,nhood,Latitude,Longitude,point,,,incident time number
10/01/2018,4:31:00 AM,5,2018,Wednesday,Assault,South of Market,37.77737,-122.39976,"(37.77737199450485, -122.39976258647586)",,,0.19
10/01/2018,6:22:00 AM,6,2018,Wednesday,Assault,Inner Sunset,37.76413,-122.46417,"(37.76413086896357, -122.46417202379678)",,,0.27
10/01/2018,8:00:00 AM,8,2018,Wednesday,Assault,Tenderloin,37.78393,-122.4126,"(37.7839325760642, -122.41259527758581)",,,0.33
10/01/2018,8:04:00 AM,8,2018,Wednesday,Assault,Portola,37.73116,-122.41928,"(37.731164306977355, -122.4192818756975)",,,0.34
09/01/2018,5:00:00 PM,17,2018,Tuesday,Burglary,Bernal Heights,37.7443,-122.40453,"(37.74429791488461, -122.40452729048533)",,,0.71
10/01/2018,3:00:00 AM,3,2018,Wednesday,Assault,Bayview Hunters Point,37.73094,-122.37389,"(37.730936070218895, -122.37389036627054)",,,0.13
09/01/2018,12:30:00 PM,13,2018,Tuesday,Assault,South of Market,37.77438,-122.40152,"(37.77438465486808, -122.40151810859764)",,,0.52
09/01/2018,12:30:00 PM,13,2018,Tuesday,Assault,South of Market,37.77438,-122.40152,"(37.77438465486808, -122.40151810859764)",,,0.52
10/01/2018,10:55:00 AM,11,2018,Wednesday,Assault,West of Twin Peaks,37.74314,-122.47355,"(37.74314359044044, -122.47355342423872)",,,0.45
02/01/2018,8:00:00 AM,8,2018,Tuesday,Sex Offense,Noe Valley,37.7453,-122.44009,"(37.7452960345474, -122.44008804983274)",,,0.33
